"","civic_centre","number_of_death","location","year","season"
"1","ET",149,"Outside City Limits",2020,"Winter"
"2","ET",416,"Toronto",2020,"Winter"
"3","NY",86,"Outside City Limits",2020,"Winter"
"4","NY",563,"Toronto",2020,"Winter"
"5","SC",157,"Outside City Limits",2020,"Winter"
"6","SC",557,"Toronto",2020,"Winter"
"7","TO",46,"Outside City Limits",2020,"Winter"
"8","TO",218,"Toronto",2020,"Winter"
"9","ET",123,"Outside City Limits",2020,"Winter"
"10","ET",313,"Toronto",2020,"Winter"
"11","NY",61,"Outside City Limits",2020,"Winter"
"12","NY",298,"Toronto",2020,"Winter"
"13","SC",102,"Outside City Limits",2020,"Winter"
"14","SC",282,"Toronto",2020,"Winter"
"15","TO",58,"Outside City Limits",2020,"Winter"
"16","TO",252,"Toronto",2020,"Winter"
"17","ET",86,"Outside City Limits",2020,"Spring"
"18","ET",269,"Toronto",2020,"Spring"
"19","NY",30,"Outside City Limits",2020,"Spring"
"20","NY",184,"Toronto",2020,"Spring"
"21","SC",57,"Outside City Limits",2020,"Spring"
"22","SC",232,"Toronto",2020,"Spring"
"23","TO",9,"Outside City Limits",2020,"Spring"
"24","TO",29,"Toronto",2020,"Spring"
"25","SC",184,"Outside City Limits",2020,"Spring"
"26","SC",662,"Toronto",2020,"Spring"
"27","TO",1,"Toronto",2020,"Spring"
"28","ET",239,"Outside City Limits",2020,"Spring"
"29","ET",769,"Toronto",2020,"Spring"
"30","NY",74,"Outside City Limits",2020,"Spring"
"31","NY",356,"Toronto",2020,"Spring"
"32","SC",393,"Outside City Limits",2020,"Spring"
"33","SC",1455,"Toronto",2020,"Spring"
"34","TO",14,"Outside City Limits",2020,"Spring"
"35","TO",128,"Toronto",2020,"Spring"
"36","ET",190,"Outside City Limits",2020,"Summer"
"37","ET",567,"Toronto",2020,"Summer"
"38","NY",32,"Outside City Limits",2020,"Summer"
"39","NY",210,"Toronto",2020,"Summer"
"40","SC",5,"Outside City Limits",2020,"Summer"
"41","SC",29,"Toronto",2020,"Summer"
"42","TO",61,"Outside City Limits",2020,"Summer"
"43","TO",255,"Toronto",2020,"Summer"
"44","ET",187,"Outside City Limits",2020,"Summer"
"45","ET",647,"Toronto",2020,"Summer"
"46","NY",24,"Outside City Limits",2020,"Summer"
"47","NY",187,"Toronto",2020,"Summer"
"48","TO",72,"Outside City Limits",2020,"Summer"
"49","TO",272,"Toronto",2020,"Summer"
"50","ET",186,"Outside City Limits",2020,"Summer"
"51","ET",507,"Toronto",2020,"Summer"
"52","NY",46,"Outside City Limits",2020,"Summer"
"53","NY",200,"Toronto",2020,"Summer"
"54","TO",12,"Outside City Limits",2020,"Summer"
"55","TO",86,"Toronto",2020,"Summer"
"56","ET",39,"Outside City Limits",2020,"Fall"
"57","ET",194,"Toronto",2020,"Fall"
"58","NY",1,"Outside City Limits",2020,"Fall"
"59","NY",2,"Toronto",2020,"Fall"
"60","SC",40,"Outside City Limits",2020,"Fall"
"61","SC",140,"Toronto",2020,"Fall"
"62","TO",155,"Outside City Limits",2020,"Fall"
"63","TO",534,"Toronto",2020,"Fall"
"64","ET",164,"Outside City Limits",2020,"Fall"
"65","ET",375,"Toronto",2020,"Fall"
"66","NY",1,"Outside City Limits",2020,"Fall"
"67","NY",2,"Toronto",2020,"Fall"
"68","SC",79,"Outside City Limits",2020,"Fall"
"69","SC",162,"Toronto",2020,"Fall"
"70","TO",220,"Outside City Limits",2020,"Fall"
"71","TO",683,"Toronto",2020,"Fall"
"72","ET",322,"Outside City Limits",2020,"Fall"
"73","ET",1239,"Toronto",2020,"Fall"
"74","NY",5,"Outside City Limits",2020,"Fall"
"75","NY",24,"Toronto",2020,"Fall"
"76","SC",12,"Outside City Limits",2020,"Fall"
"77","SC",39,"Toronto",2020,"Fall"
"78","TO",39,"Outside City Limits",2020,"Fall"
"79","TO",147,"Toronto",2020,"Fall"
"80","ET",171,"Outside City Limits",2020,"Winter"
"81","ET",832,"Toronto",2020,"Winter"
"82","SC",3,"Toronto",2020,"Winter"
